timestamp,open,high,low,close,volume
1739648760,97593,97593,97593,97593,0.01373038
1739648820,97581,97581,97577,97577,0.02354996
1739648880,97569,97602,97568,97602,0.00959099
1739648940,97602,97636,97602,97636,0.01194341
1739649000,97633,97633,97620,97620,0.02631332
1739649060,97618,97618,97569,97569,0.03626911
1739649120,97569,97569,97569,97569,0.0
1739649180,97574,97574,97557,97557,0.09149708
1739649240,97559,97559,97543,97546,0.11609007
1739649300,97546,97549,97546,97549,0.0068
1739649360,97542,97542,97533,97538,0.02009121
1739649420,97537,97546,97537,97546,0.25799347
1739649480,97546,97582,97546,97581,0.24675836
1739649540,97578,97578,97540,97540,0.03011067
1739649600,97558,97571,97558,97568,0.33108322
1739649660,97572,97622,97572,97586,0.288188
1739649720,97571,97571,97542,97545,0.01663381
1739649780,97542,97567,97542,97567,0.00576
1739649840,97582,97632,97582,97632,0.03146
1739649900,97632,97632,97632,97632,0.0
1739649960,97651,97651,97602,97602,0.04943802
1739650020,97599,97599,97571,97571,0.00851161
1739650080,97559,97621,97556,97586,0.04870084
1739650140,97577,97579,97573,97577,0.096143
1739650200,97590,97608,97588,97608,0.00243221
1739650260,97625,97637,97587,97598,0.06402956
1739650320,97637,97647,97637,97647,0.0066
1739650380,97650,97650,97650,97650,0.0147158
1739650440,97650,97669,97633,97633,1.15666341
1739650500,97604,97604,97586,97587,0.00971477
1739650560,97581,97597,97581,97589,0.13912691
1739650620,97585,97585,97554,97575,0.01240807
1739650680,97600,97600,97585,97585,0.01005774
1739650740,97574,97574,97572,97572,0.00079787
1739650800,97572,97591,97572,97591,0.01128638
1739650860,97583,97583,97583,97583,0.0014
1739650920,97583,97583,97548,97552,0.15314712
1739650980,97547,97548,97530,97548,0.01209488
1739651040,97544,97545,97537,97537,0.01852621
1739651100,97537,97537,97537,97537,0.0
1739651160,97527,97553,97527,97553,0.0006
1739651220,97550,97571,97550,97571,0.01465442
1739651280,97598,97598,97598,97598,0.00140203
1739651340,97598,97598,97593,97593,0.02099782
1739651400,97589,97589,97529,97529,0.03445751
1739651460,97529,97529,97514,97515,0.61476816
1739651520,97517,97551,97517,97551,0.00183912
1739651580,97545,97545,97529,97529,0.02364233
1739651640,97507,97542,97507,97542,0.00682908
1739651700,97542,97553,97542,97552,0.0048069
1739651760,97542,97542,97542,97542,0.00098
1739651820,97541,97542,97528,97542,0.10000795
1739651880,97542,97547,97542,97545,0.31797498
1739651940,97541,97541,97511,97511,0.03113839
